order_id,product_id,add_to_cart_order,reordered
1231961,15976,9,0
2497615,3593,1,1
2873286,33245,5,1
979078,9421,1,1
2152203,48104,1,1
10605,13170,1,1
521426,35948,11,1
1128077,28597,26,0
3104857,23537,11,0
2069022,40229,11,1
1185962,40091,5,1
1731403,10761,8,1
2950466,31805,9,0
1061545,25890,2,1
2239338,14870,15,1
3359603,47766,4,1
3357761,28204,8,1
2548297,21616,4,1
994261,31338,10,1
1578484,47977,2,1
1140626,13852,20,1
1305767,28999,13,1
2413151,46294,15,0
2106488,38689,2,1
2014439,46906,9,0
981078,16797,3,1
2219753,27925,8,0
1843691,30489,12,1
2394055,3339,12,0
313385,46676,4,1
881260,33407,2,0
3081457,25753,12,0
118305,33647,13,1
1913718,12036,7,0
1651676,12545,23,0
3044432,39877,6,1
177872,13984,10,1
1650063,34358,16,0
404005,47144,2,0
384152,26800,10,0
3378866,5134,17,1
3337476,37003,1,0
2985406,24852,2,1
2382232,15040,9,1
264187,14739,7,1
2061106,12496,10,0
339715,13870,6,0
1063460,43087,28,1
662706,46692,19,0
77114,15333,4,0
2912651,47626,12,1
816816,23909,1,1
1125997,33731,6,0
2046413,47209,10,0
897046,25640,1,1
854812,31717,4,0
1149413,44329,10,0
2039739,13870,10,1
3300136,26128,10,0
337065,36317,1,0
727721,12456,11,1
3306208,40604,12,1
1014237,29405,4,1
1280084,33990,3,0
968988,38970,9,0
1601350,41950,10,0
1021379,421,4,1
2386136,10243,8,0
1320749,7632,9,0
1749362,21137,4,1
1445916,38656,6,1
1457943,35939,16,1
1307355,1511,17,1
56168,25997,6,0
1218673,30489,1,1
3357597,12664,4,0
1564563,17924,3,1
2553567,3782,1,0
2336799,40310,9,1
2685291,5640,4,1
3355633,27629,15,0
1978144,39411,2,1
808732,41165,18,1
3330060,25160,11,1
2392505,14112,9,0
1930610,27325,1,1
3342560,29487,14,0
310677,13829,8,0
261676,39922,2,1
2318142,45698,45,0
2696584,24964,1,1
392913,18481,6,1
3150809,31727,35,1
3411982,39877,1,1
446222,30341,2,1
415731,36256,10,1
654098,10580,28,0
105028,11182,4,1
2755956,43904,19,0
2216764,33087,20,1
730562,4442,6,1
2999034,21903,4,1
477052,31371,8,1
1185902,37642,4,0
2142403,21872,19,1
1907503,11087,12,1
3155282,14233,2,1
2496351,17794,14,0
3324593,23236,14,0
2608676,49075,14,0
2109712,29871,16,0
2951654,27761,3,0
486756,26717,17,0
981952,34126,30,0
2517869,24964,27,0
739074,29669,19,1
3313052,40411,10,0
592412,27540,14,0
432715,13077,1,1
901203,30557,13,0
3016764,47209,2,1
1267467,28849,7,1
3188742,19953,28,0
2435132,43205,6,0
1018510,14633,10,1
2995413,26604,1,1
904346,35168,4,1
121893,41453,6,1
2964917,49683,6,0
3070018,43662,8,0
956420,5460,9,0
337277,23594,7,0
1486491,20383,8,1
170546,19068,4,1
1321198,24830,9,1
629721,22416,16,0
2471670,44142,7,0
484515,32139,5,1
191104,12452,3,1
3236658,27845,10,1
2457286,49235,3,0
220473,3172,16,0
3005603,24359,7,1
2822814,12341,2,1
1756069,47209,5,1
763513,4163,11,0
2812577,42356,13,1
1463413,48171,16,1
1446715,30233,10,1
914610,47861,2,1
473488,23115,24,0
1909190,48795,9,0
1106632,19679,6,0
3053909,30827,16,1
300997,20380,12,1
2522592,24838,11,1
3404090,44449,18,0
148628,25552,1,1
3237967,32689,2,0
3002661,28204,3,1
945076,32566,8,0
1747938,30776,3,1
2904413,32655,2,1
2704720,8174,2,1
1741275,42617,7,1
107377,44303,14,0
3019475,39886,5,0
2252331,14739,16,1
3271686,9996,1,0
2709156,31663,11,0
1830832,14715,2,0
409403,17708,20,0
2299635,16083,1,1
1273109,20734,1,1
269694,10371,2,1
1955058,19382,8,1
189007,33953,10,1
3407093,40706,20,0
1276443,17630,14,1
805699,28842,16,1
2495524,42265,32,1
157937,35584,8,0
434952,27966,19,1
3093379,1700,7,1
2536550,30630,8,1
3226096,30162,7,0
1188901,28849,1,0
638216,24184,7,0
2373594,34335,18,1
13172,12797,26,0
446798,24852,7,1
228916,2229,1,1
3383295,12341,4,1
2550612,3957,2,1
816017,5373,6,1
2865846,20392,23,0
1809620,26620,8,0
1402510,1993,7,0
342540,17781,1,0
3032722,24184,3,1
1072377,5876,18,1
2292808,9076,12,0
3280099,9387,1,1
2118526,45788,4,1
2287099,46979,16,1
798114,2452,12,0
2701650,20955,5,1
1979112,34943,3,1
233181,13984,12,1
2645650,44987,12,1
3258937,36316,2,0
3167804,9808,3,1
2362351,13740,5,1
1875847,26940,18,0
2267359,21131,5,1
238747,20957,2,1
2382825,34126,27,0
1270279,23029,6,0
2853204,44883,1,0
2174202,17725,11,1
2956224,39558,10,0
2721034,18370,20,1
684352,10005,28,1
1099584,10044,3,0
130792,47357,13,0
61440,31343,15,0
3328070,43129,5,0
2157263,31801,4,1
2606402,40256,3,0
1518268,35951,7,0
2135473,875,17,0
3072724,38312,6,1
1426569,21793,8,0
2285429,13030,3,1
2850728,8736,11,0
1066651,27676,13,0
1495880,11770,9,0
3409897,35534,2,1
561200,15880,15,0
2119589,17530,4,1
692875,21137,5,1
2723144,10895,12,0
1284837,17794,5,1
1763502,34640,3,0
2567814,4605,10,1
1816290,19048,11,0
2799955,47526,8,1
1154405,27729,7,1
2852375,11118,12,0
1668978,21872,18,1
3364309,24964,4,0
3410224,38226,13,0
945617,13176,2,1
574680,16834,3,0
3192051,13535,15,1
475368,13176,3,1
2333190,14679,14,0
876650,20919,19,0
1924561,8193,7,1
1711866,30489,21,1
2350224,39275,5,1
1179102,1543,3,0
3082217,8149,17,1
1885944,22666,5,1
1040084,7156,3,0
2686128,21137,9,1
732073,23265,6,1
3135285,44245,12,1
2719829,34144,25,1
619483,4605,5,0
1414884,24852,31,1
1186411,9666,7,1
1509837,21137,16,0
249658,31040,4,1
2364162,40198,23,1
3311133,5453,4,0
221094,21823,8,1
2799970,5886,8,0
2016110,49111,10,1
3126887,46906,7,0
1344961,30489,7,1
3194613,24852,4,1
1329731,43961,2,1
541354,31985,5,0
3235795,43352,6,1
999156,19240,7,0
1278711,45681,8,1
1609741,39928,14,0
1249627,29311,24,0
1943668,30391,16,1
2318878,15937,15,0
1725625,18625,18,0
1618119,21137,2,1
3339374,28289,14,0
3342090,8277,9,1
3405997,36316,4,0
2718144,36253,2,0
2661489,781,9,1
2432662,5206,1,1
1639930,25504,19,1
2085248,23537,1,0
1467801,27086,4,1
2385121,4595,2,1
1432196,4920,5,1
1154554,27104,3,0
2736328,9210,3,1
380301,33055,4,1
541467,22882,1,0
2923411,27596,3,1
410785,38689,11,1
3108886,42265,4,1
1408799,44570,10,1
2820306,24852,19,1
2198227,46913,2,1
1993317,28021,5,0
118876,11520,2,1
389799,38159,11,0
2349575,12456,12,1
2463086,8947,28,0
1531995,10673,14,0
1100267,31377,15,0
1773643,26604,9,1
1097187,14173,8,0
1006502,37067,3,0
2498885,21903,3,0
2326647,48023,15,0
225202,35221,1,1
496986,16759,22,1
1094948,11440,5,1
2992898,1090,4,1
2497899,27360,6,1
126967,18070,2,1
1036009,44548,4,0
1027855,33290,32,0
1097468,29987,17,0
166344,21903,13,0
2854216,47209,3,1
2226817,40396,2,1
645814,39224,10,1
991513,21083,2,1
327195,26940,12,1
2829488,13621,4,0
973408,2309,8,1
728540,43122,9,0
1529999,32299,13,0
3299789,41463,4,0
2262182,44359,21,1
1062636,7559,5,1
2558698,37646,5,1
1986913,7156,11,0
1362860,39275,22,0
1242356,25197,18,1
488116,28156,10,1
2047356,16797,2,0
1913801,10849,6,1
2211397,14678,1,1
1351180,44103,15,0
2928174,35914,3,1
1287893,11074,7,0
117372,33228,3,1
2784919,30489,7,1
28867,20520,6,0
586734,28427,13,0
787865,45918,3,1
3371805,30704,21,1
2518495,11193,1,0
1664013,27020,19,1
746084,10246,6,1
2512475,13176,6,1
3267194,25640,12,1
1884754,9339,16,0
472241,27521,4,0
1048308,41273,5,1
373934,21386,11,1
2600276,31506,21,0
1713134,48857,3,0
3133770,16797,8,1
2343134,35628,13,0
1801784,40709,6,1
792406,2611,6,1
743202,8277,4,1
1980732,20608,5,0
3203752,29265,9,0
1861943,22236,3,0
142993,25097,7,0
1410808,5132,14,1
2870587,12916,16,0
697618,14384,2,0
2266135,5858,3,0
93747,17918,5,0
2354130,43352,4,1
1174763,5514,1,1
66626,40723,19,0
2463913,26940,7,1
1258280,9996,7,0
1007587,21903,14,1
1196926,48626,16,1
943438,325,7,0
769371,4086,17,0
1314897,3321,9,1
1456889,26790,3,1
1863821,14992,11,1
2538878,7781,2,1
2909963,15902,19,1
3045815,41065,9,0
1301820,2078,8,0
3113841,21616,20,1
427795,21137,8,1
1070854,18234,4,1
2269528,19003,1,1
428902,30489,29,1
1489012,15290,16,1
1021816,35233,24,0
3152783,22935,5,1
1288703,24010,4,1
1683799,8251,4,0
1050512,29944,7,1
965636,43154,4,1
2131296,25223,13,0
553812,49683,3,1
880072,10339,12,0
2309555,43654,11,0
2667119,21903,20,1
2938738,21137,7,1
1898402,27423,7,1
1691811,14464,8,0
2479519,18278,7,0
1746659,12381,7,1
3007971,34969,10,1
457295,3016,21,0
1114299,21903,18,1
1065041,21330,2,0
2597482,36534,3,1
1200618,30696,9,0
1840201,41400,2,1
1736299,24010,5,1
2765057,24852,1,1
1505202,8955,17,1
3018326,31564,9,0
1659044,30480,6,0
1775596,29447,1,1
1657744,42515,16,0
1930013,397,4,0
2029256,38325,1,1
741775,34487,7,0
181735,14669,1,1
3173815,19084,3,0
3121723,21607,6,1
238730,24852,5,1
2893900,389,14,1
447333,25269,11,0
1270705,44969,18,1
2634350,28204,12,1
3206690,31853,30,1
1535415,16465,21,0
2421346,36551,2,0
1623806,24954,2,0
1543992,13014,6,0
2516183,13176,7,0
516151,17769,9,0
2224397,23165,19,1
154925,47570,29,0
1433557,34551,5,1
518452,47788,5,1
2060937,45223,5,1
1139859,34126,16,0
236565,44245,6,1
2555828,10662,2,1
880550,33195,3,1
1681634,5550,5,0
1614950,11452,7,1
2182111,27845,11,0
1585916,25146,20,0
1848442,37646,9,0
1392595,37066,8,1
2215057,46906,5,1
1029423,33731,19,0
336586,29307,1,0
1044036,22620,3,0
853376,45296,6,1
1264499,17948,4,1
919167,30391,15,1
12817,27544,8,0
1551486,44632,2,1
1702508,30489,9,1
1743309,3919,4,1
1532921,39729,11,1
246106,8955,22,0
1162210,47766,4,0
1506613,3957,14,1
999821,19156,9,1
3136533,37120,19,0
1499077,2552,3,0
3084628,38650,33,1
411475,33357,22,1
568554,11520,5,1
1554750,3990,15,0
490681,31553,1,0
3103946,49273,4,1
533303,21616,2,0
556189,18787,1,1
2124038,27286,14,0
3114157,26919,5,0
2526106,24852,20,1
2533671,18171,1,1
2773410,22035,4,0
1279934,14303,14,1
829404,23785,1,1
3265701,27405,24,1
529668,5646,8,1
280908,7557,4,0
1465746,766,2,0
3066155,46041,6,1
2664523,8571,2,1
149180,5764,1,1
670256,4932,2,1
3051756,4421,17,1
1314340,21791,11,1
1071994,49383,4,1
2549476,1935,16,1
1817971,44632,9,1
1224198,17872,6,1
1385457,24852,4,0
1237424,18418,6,0
2419814,30169,7,1
2058710,24852,6,1
1109570,42030,13,1
409944,32821,3,0
2933433,44514,1,0
76881,39719,24,0
2171785,44170,15,0
1640062,10108,22,1
2777704,36144,1,1
1982999,12845,6,0
2193339,32465,2,0
487930,18465,6,1
2313222,13870,5,0
1457096,8512,16,1
154430,8501,7,0
800069,1981,1,1
1743080,24830,2,1
1513167,11520,1,1
2114139,48287,9,1
1622062,12545,6,0
3136045,46667,16,0
2726430,36758,11,1
659561,21903,2,0
1878602,36443,12,0
1952680,21137,4,1
1520738,25814,18,0
558531,4058,13,1
2994720,24852,7,1
650497,46667,4,0
156623,6852,4,1
2783527,47766,1,1
1211277,17600,11,0
2145214,31263,22,0
2659717,24184,9,0
261923,9175,9,1
2130034,20542,15,0
2941379,30471,11,0
1217881,44375,36,0
3004316,13176,2,1
1376671,45066,2,1
2336338,28204,6,0
1580645,25093,8,1
95858,31717,10,0
2760146,27845,18,1
2857350,20580,7,0
3030834,22935,6,1
1096604,16521,14,0
3413683,46755,10,1
757872,21573,15,1
1944833,30489,8,1
2555740,9598,7,1
1844095,17461,6,1
1099319,33198,8,1
141945,34584,7,1
510085,8968,5,1
799509,48775,8,1
2297789,19171,1,0
3286300,2450,18,1
2485590,3990,3,0
1782646,32864,4,1
2312735,46969,2,1
918838,4853,11,1
679508,35132,10,1
3067951,8277,6,0
785454,39431,15,0
908689,45866,2,0
1090256,21376,28,1
1895273,45061,8,1
2434112,4920,14,1
1621536,19057,4,1
1163070,18234,9,0
310269,42265,3,0
2299591,27966,3,0
2257183,3298,4,0
773515,6104,29,0
3043198,13225,2,1
2137602,12564,7,0
1985166,20144,1,1
2082642,44359,13,0
1420471,25705,2,1
1490609,32486,11,1
2829765,21137,4,1
1864050,35939,8,0
1576528,41165,14,1
3004789,19488,12,0
1267309,27156,5,0
1394754,48004,20,1
3360499,31717,11,1
2799573,24561,11,0
2058802,45036,2,0
326833,26071,3,1
1503702,6300,14,0
443958,13870,6,0
2911884,32707,3,0
3190248,43352,4,1
511181,10106,15,1
2282913,42697,6,1
3336791,13176,6,1
981160,29463,11,1
943341,9595,18,1
541715,43504,10,0
764893,24622,22,0
3344217,19660,14,1
1555128,21137,21,1
2140980,22367,6,1
1199765,20670,14,0
948954,28805,27,0
912076,24654,26,1
3219574,32717,12,0
1367346,18523,7,1
354577,43631,4,0
1453268,47005,21,0
2293672,30233,5,1
974036,35939,6,1
2524130,1069,3,1
458397,1468,7,0
502121,23181,11,0
331597,9177,25,0
2758116,5110,12,1
514451,17658,1,1
952943,12456,1,0
614860,40241,14,0
3362760,36865,3,1
2895725,45007,29,0
3181498,9477,18,0
276347,7050,4,1
157812,24964,4,1
2551736,43631,2,1
898618,27845,21,1
3061392,13252,12,1
1856254,23801,12,0
686317,8424,11,1
729530,33000,11,0
1665152,44683,1,1
3231183,49683,8,1
2085453,4544,16,0
3295575,28427,2,0
3356777,44422,12,0
1001477,40706,14,1
2428259,10970,6,1
1066761,32412,3,1
3171695,18918,7,0
1153922,29694,8,0
1871501,39275,10,0
2951494,46129,2,0
1093013,33572,3,1
891156,26369,13,1
2476340,31915,5,1
2866787,46069,7,1
2933519,13627,7,1
658065,3800,11,1
984354,21903,8,1
852945,43014,13,1
2832088,48681,5,1
804726,12144,15,0
1974499,49610,6,1
3129744,24852,16,1
1631379,27316,1,1
874805,26209,15,0
2253777,18362,10,1
1023163,19057,2,1
2558146,26322,6,0
2034871,24852,3,1
2185982,8555,1,1
193257,27966,2,1
1349747,41963,9,0
5137,28593,2,1
516515,1006,16,1
1686156,5475,7,1
3055447,24841,11,0
107010,45544,7,1
2362751,8518,21,1
1560228,37552,6,0
50972,29720,14,0
2771596,2439,3,0
2335943,33198,7,1
2861972,10749,6,0
2544601,14126,3,1
1338984,24852,5,1
281964,46496,2,1
128310,24964,8,1
1251506,12409,9,1
1740112,32864,7,1
3175813,9071,2,1
2297690,20119,1,1
1343319,16083,2,1
3349252,22035,2,0
1571560,28204,3,1
1199496,23734,7,1
3330063,18573,5,0
1395141,12820,15,0
2710036,36316,7,1
1267294,19125,7,0
3301610,5876,6,0
3114530,22218,2,0
1802124,24838,11,1
632222,3376,10,1
539295,18465,6,1
3337494,4137,6,1
1724961,8740,5,1
321059,46886,15,0
2304226,311,8,1
1203972,26209,10,1
1276986,11821,9,1
1837745,41899,7,0
47591,38544,5,1
2881396,20114,6,0
639900,17845,8,0
1580815,47209,2,1
170132,11494,1,0
550281,34608,8,0
2826261,42804,3,1
615372,19511,3,1
1270090,13829,11,0
3003394,33018,1,1
2007464,19051,7,1
2719587,33741,4,0
1145347,46888,6,0
2572248,44632,5,1
2581338,4006,4,1
1445711,46887,5,0
2745032,28455,8,0
2147470,45007,26,0
787358,22198,9,0
1130708,3376,8,0
1325301,33129,1,0
2014309,45613,20,1
3297345,46138,3,0
971788,19660,2,1
2030921,47209,7,1
1779844,38273,10,0
1080253,35554,24,0
2569283,46979,6,1
966520,30645,23,0
1818900,21137,31,0
1187302,10673,19,0
2537513,6182,8,1
1045519,47888,4,1
1689021,13964,4,1
2599432,24852,1,1
60720,18535,18,0
1623108,3715,1,0
256084,49401,2,0
2990535,33457,2,1
2278117,37417,15,0
2176335,16083,3,1
1175315,35140,2,1
524682,14992,3,1
394609,21137,8,1
258126,36906,13,1
1944503,48364,10,0
2778617,34969,9,0
2071268,17461,12,1
1907088,15290,8,0
2945193,12140,9,1
2869619,33647,14,1
1901990,19706,21,1
27611,27730,4,1
3120434,890,31,1
48859,5077,2,0
2964450,28986,1,0
2479225,47766,8,0
962953,24964,14,1
107402,26209,18,1
1863898,24852,2,1
1248196,37065,8,0
1811588,10234,20,1
3254931,36149,10,1
1479874,35383,11,1
1042226,24852,11,1
2002715,3618,2,1
925699,44745,24,0
2254972,29117,7,1
1390464,9058,4,1
2995383,5479,1,1
2306045,21292,7,1
1743941,43218,8,0
1552686,5636,6,1
1178485,42265,1,0
2274747,28985,11,1
1403305,17471,11,1
2584146,47144,5,1
896902,31506,2,0
1350849,17630,4,0
1865785,27241,8,1
966912,31915,1,0
2544399,1202,3,1
3407159,32689,4,1
3390717,34407,9,0
1906424,13806,10,1
77981,21903,2,0
1483378,48220,11,0
1232138,33720,5,0
1346306,41950,3,1
2230520,39558,1,1
2121290,29079,14,0
1738604,13740,13,1
2269481,5785,2,1
705581,28985,1,1
1261854,9894,30,0
2495922,38419,4,1
2554770,42176,16,1
3394219,35257,8,0
2443365,43961,2,1
2974399,42944,5,1
1882243,39877,13,0
2122847,40174,2,1
2200820,38694,16,1
2270178,38928,3,1
355190,43972,15,0
2805577,20670,11,0
400452,28577,21,1
803044,13176,1,1
232660,48182,12,0
1099863,14891,2,0
3037345,49683,4,1
430964,4812,1,1
1235356,27086,6,1
2791275,39032,7,0
964975,26620,9,1
318073,45447,5,1
1023358,17830,1,1
3321950,46667,7,1
1106594,49318,3,1
1562312,8953,2,1
830658,30774,19,1
1693623,29270,9,0
2493656,40396,9,1
1410678,33731,9,0
2973694,40348,4,0
1610780,432,7,1
3216417,8193,2,0
3274876,40287,2,0
2695134,41558,12,0
360365,18095,14,1
875649,31506,6,0
2730430,25513,12,0
958223,49185,6,1
1165338,24497,8,1
1135687,48775,15,1
850040,13176,2,1
3210223,7131,1,1
1469853,3142,18,0
2575509,41950,18,0
1723366,35921,3,1
3391027,39408,22,1
1922934,46676,10,1
2592166,48871,3,1
3293068,48622,1,0
1390442,12206,23,1
76017,4001,1,0
110374,15872,12,1
2765792,34243,8,1
1815450,35084,15,1
1672283,40229,17,0
978436,32486,12,1
969768,21405,2,1
2166410,9092,15,1
1842465,8174,6,1
2388575,47719,2,0
2107518,19173,5,1
1961295,13093,1,0
2745640,11913,25,1
2952007,40229,9,1
1837498,33056,3,1
783154,45007,6,1
607467,36332,7,0
1213194,5456,5,1
923009,41580,10,1
847658,13455,1,1
142620,31727,2,1
3371056,38012,1,0
1686999,27730,3,1
2267930,22959,6,0
3265778,7361,3,0
964793,5077,3,1
727757,21903,8,1
886145,34126,2,0
533508,18071,4,0
1465288,27104,19,1
2164521,30305,19,1
2451607,8741,13,0
215563,10326,5,1
604450,21543,8,0
2948846,43122,2,1
1670320,28985,11,1
3393691,26346,1,1
1728175,22849,12,0
2725104,16254,15,1
1468104,14971,12,0
1689717,17948,2,1
2711715,3896,4,1
897769,436,13,0
3359222,5876,4,1
998070,43122,9,1
2779045,27086,4,1
765496,39475,1,1
2945364,16797,11,0
1372017,25837,13,1
1438826,9178,24,1
1650271,46979,6,1
1090657,47728,6,1
1438929,7646,4,1
623899,21077,5,1
951369,39249,2,0
1965164,35951,5,1
2589674,39464,21,1
907192,22963,7,1
488260,34069,6,0
3297324,24852,1,1
2464140,13252,13,0
981268,2314,11,1
2423830,20564,14,1
1080448,7667,12,0
1077313,27104,8,0
2905250,11777,2,0
2630129,40396,12,0
1033046,2962,2,1
1300406,6383,1,1
549112,32465,11,0
1570579,32753,9,0
1485898,28985,8,1
2197069,27845,8,1
3352028,43154,1,1
1757983,16744,5,1
2537035,15392,13,1
222079,48620,5,0
2009649,40706,2,0
1360767,21137,5,1
146610,40198,7,0
2017623,2897,22,1
2100758,6300,26,0
1783106,33768,6,1
2078983,4210,2,1
1910106,22935,7,1
2695203,31717,8,1
1323118,7503,13,1
625224,17794,4,1
2246783,32497,3,1
1940838,3896,6,1
395386,7781,20,0
2751546,32569,2,1
404191,7916,7,0
113597,2309,16,0
3170961,39275,3,1
2372900,26369,8,0
765592,43789,17,0
2840850,41694,12,0
770640,9829,2,0
3272340,25753,13,0
1552726,890,7,1
3085710,44570,26,1
1655210,11005,4,1
3372350,35286,10,0
2285957,39275,11,0
1951901,40198,2,1
515465,28985,3,1
1718281,34335,1,1
1625460,5785,1,1
1444284,38928,4,1
2049585,30994,1,1
1918676,28851,4,1
726402,12240,12,0
2246489,5025,9,0
2295114,27326,15,0
1226064,28204,2,1
1833043,8424,6,1
2354537,19546,15,0
1193588,48435,10,0
894702,20061,3,1
3196443,7090,5,1
2552882,47626,18,1
3042642,38289,4,0
810019,24964,9,1
837832,23165,9,0
3380397,4576,5,1
2009468,37849,6,0
1000304,2664,5,0
1565344,46692,11,1
1643998,9955,6,0
1163912,13428,44,0
3232744,34254,5,1
96422,18389,3,1
797028,5876,8,1
861287,27966,12,1
1969859,31343,7,1
2003997,22950,6,0
2658587,26359,3,0
1712289,26209,2,1
2994581,26209,5,1
1510197,9955,5,1
2429128,8571,8,0
2561301,9076,15,0
3323186,210,10,0
1322846,44359,14,1
2061477,47993,1,0
399490,4605,15,0
3359245,7503,3,1
291947,24852,3,0
75324,21137,4,1
540387,20460,4,1
1971307,22526,10,1
317878,18615,2,1
410926,44156,6,1
91399,23644,3,0
696406,17794,4,1
1465828,500,1,0
2934383,24964,3,1
1455900,5025,17,1
467160,6182,10,1
2642836,24382,28,0
327817,9267,12,0
3075491,35321,1,1
1807459,43903,3,1
2934816,28756,2,1
737181,33508,11,1
1883125,3407,3,1
1074288,16797,12,1
1051515,16954,19,1
1329346,27772,2,0
2381004,36737,21,0
2059847,34005,5,1
187338,26209,1,1
2677492,4920,6,0
3087245,31263,9,1
3362343,4957,25,1
2739399,33754,6,0
1156039,20113,22,0
45525,42731,1,0
3342507,42533,17,0
1699292,47626,10,0
1249493,46906,14,1
2057094,49683,6,0
2327243,41844,8,0
1941151,40063,11,0
2041804,1463,2,1
1061541,44987,2,1
448572,25890,7,0
371419,11782,6,1
751731,21137,1,1
910365,10673,6,0
2385359,7736,21,0
752841,26131,2,1
1161740,26453,11,1
2180956,13176,4,1
858456,21903,18,1
1919518,5818,2,1
1159219,26604,10,0
3311101,29363,11,1
2057934,27695,16,1
270393,34146,19,1
3142015,39921,5,0
754280,38313,21,0
1709627,1365,4,0
292609,43343,16,0
561315,33257,2,1
1209489,6046,13,1
2886562,42701,9,1
836780,24852,5,1
1361273,32655,4,1
2208548,12916,1,0
2810492,196,2,1
1595043,8424,15,1
1193518,45832,1,0
1430670,21267,2,1
247882,13176,9,1
1767144,47626,6,1
3213830,10749,5,1
1583671,10504,4,0
2056927,29574,7,1
1930259,29418,1,0
2618607,24838,23,1
1900398,24838,2,1
1498430,14084,11,1
1976192,41897,3,1
1136987,31670,7,1
2532736,27464,12,1
1120535,38469,1,1
2352223,19468,16,0
1677632,42356,2,1
1318655,12745,1,1
1276251,4799,12,1
41760,39928,20,0
280759,15261,16,1
281905,1244,11,1
1305463,45535,7,0
1790219,46304,14,1
31056,30707,8,1
2371494,37067,3,0
707117,3599,15,0
2584152,32841,13,1
197032,34658,10,1
1920567,49330,11,1
2337566,33320,8,1
3140155,37691,1,0
2899663,34949,1,1
1249000,38312,6,1
2240735,13380,2,1
1438724,32781,6,1
707320,15290,17,0
